candidate,period,alloc,final,total_return,max_dd,sharpe,costs_paid,skipped
"15min base RSI2<10, exit X2",dev 2018-03..2024,0.25,39.97617264831652,-0.9200476547033669,-0.9200476547033669,-3.462093317949089,468.29669886881175,4118.0
"15min base RSI2<10, exit X2",dev 2018-03..2024,0.5,19.958497786616395,-0.9600830044267672,-0.9600830044267672,-2.7275140032599787,491.07346043316454,4206.0
"15min base RSI2<10, exit X2",dev 2018-03..2024,0.75,12.973932806044552,-0.9740521343879109,-0.9740521343879109,-2.5087275584686415,500.7983859637732,4250.0
"15min base RSI2<10, exit X2",dev 2018-03..2024,1.0,9.75881156406735,-0.9804823768718653,-0.9804823768718653,-2.2461337597223414,506.8886311998931,4277.0
"30min base RSI2<10, exit X2",dev 2018-03..2024,0.25,39.42540669386128,-0.9211491866122774,-0.9211491866122774,-4.573015603133117,482.8309242461392,1866.0
"30min base RSI2<10, exit X2",dev 2018-03..2024,0.5,19.649333463683703,-0.9607013330726326,-0.9607013330726326,-3.748811085564874,505.40313789008604,1955.0
"30min base RSI2<10, exit X2",dev 2018-03..2024,0.75,12.94005642326944,-0.9741198871534611,-0.9741198871534611,-3.4179387952974283,511.28292260965327,2001.0
"30min base RSI2<10, exit X2",dev 2018-03..2024,1.0,9.46619233121365,-0.9810676153375727,-0.9810676153375727,-3.239368215431973,513.4716688480615,2029.0
"1h base RSI2<10, exit X2",dev 2018-03..2024,0.25,39.90627403044802,-0.920187451939104,-0.920187451939104,-5.2437927109983775,479.825378830612,806.0
"1h base RSI2<10, exit X2",dev 2018-03..2024,0.5,19.438364016471258,-0.9611232719670575,-0.9611232719670575,-4.248475925627728,511.4179773042743,894.0
"1h base RSI2<10, exit X2",dev 2018-03..2024,0.75,13.31870616602295,-0.9733625876679541,-0.9733625876679541,-3.56318750948856,525.8646978375376,938.0
"1h base RSI2<10, exit X2",dev 2018-03..2024,1.0,9.661436812584034,-0.980677126374832,-0.980677126374832,-3.3362247907707077,534.2352122845718,962.0
"2h base RSI2<10, exit X2",dev 2018-03..2024,0.25,39.77520808067826,-0.9204495838386435,-0.9204495838386435,-5.436296059814647,516.767683474593,229.0
"2h base RSI2<10, exit X2",dev 2018-03..2024,0.5,19.94236255846249,-0.960115274883075,-0.9602397547523921,-4.032172144903677,551.2613828989288,320.0
"2h base RSI2<10, exit X2",dev 2018-03..2024,0.75,12.425931156230769,-0.9751481376875385,-0.9751481376875385,-4.029517690583358,563.7263755758664,367.0
"2h base RSI2<10, exit X2",dev 2018-03..2024,1.0,9.349117126541785,-0.9813017657469164,-0.9813017657469164,-3.505446076542195,567.1067039783508,397.0
"4h base RSI2<10, exit X2",dev 2018-03..2024,0.25,71.73838423973103,-0.856523231520538,-0.856523231520538,-4.515287748913739,484.4296360256128,0.0
"4h base RSI2<10, exit X2",dev 2018-03..2024,0.5,18.987243624180092,-0.9620255127516398,-0.9620255127516398,-3.9812002107180824,559.482335794492,43.0
"4h base RSI2<10, exit X2",dev 2018-03..2024,0.75,12.52456029405131,-0.9749508794118974,-0.9749508794118974,-3.3980638323552577,572.2545086489561,92.0
"4h base RSI2<10, exit X2",dev 2018-03..2024,1.0,9.779744812566843,-0.9804405103748663,-0.9804405103748663,-2.878247796768143,576.3108879921135,120.0
"1D base RSI2<10, exit X2",dev 2018-03..2024,0.25,387.10224301890116,-0.22579551396219766,-0.2455196699232265,-0.6428045097945425,137.18930270005296,0.0
"1D base RSI2<10, exit X2",dev 2018-03..2024,0.5,307.7670319565426,-0.3844659360869148,-0.41610049252605774,-0.5769980296143727,234.93499344767807,0.0
"1D base RSI2<10, exit X2",dev 2018-03..2024,0.75,239.71084204562186,-0.5205783159087563,-0.5572031202775395,-0.5500589696547404,315.7846835178872,0.0
"1D base RSI2<10, exit X2",dev 2018-03..2024,1.0,182.5211587726754,-0.6349576824546492,-0.6716527792348588,-0.533108011411505,380.2913832398869,0.0
"1D + F6 RSI14>=50, exit X2 (only net-positive long config)",dev 2018-03..2024,0.25,513.9684011323995,0.027936802264799,-0.021485089837246285,0.2310790137679342,48.696325406388674,0.0
"1D + F6 RSI14>=50, exit X2 (only net-positive long config)",dev 2018-03..2024,0.5,535.3832867831348,0.0707665735662697,-0.04085163768288502,0.2928559199674999,93.52796430786789,0.0
"1D + F6 RSI14>=50, exit X2 (only net-positive long config)",dev 2018-03..2024,0.75,557.2152884974639,0.11443057699492787,-0.059988577228509254,0.31632790222144636,141.66001932818665,0.0
"1D + F6 RSI14>=50, exit X2 (only net-positive long config)",dev 2018-03..2024,1.0,579.4542549214713,0.15890850984294258,-0.07890745737900395,0.3302399531876795,193.24104513528366,0.0
"4H + F4 move>=2x cost, exit X2",dev 2018-03..2024,0.25,449.08318183005446,-0.10183363633989106,-0.10183363633989106,-0.5310712266928281,106.36630366908673,0.0
"4H + F4 move>=2x cost, exit X2",dev 2018-03..2024,0.5,414.99853803308235,-0.17000292393383531,-0.17043827063351757,-0.44433930012940553,187.53096013615496,0.0
